dataset,prompt_type,model,"(2,1,1)_run0","(2,1,1)_run1","(2,1,1)_run2","(2,1,1)_run3","(2,1,1)_run4","(2,1,1)_run5","(2,5,1)_run0","(2,5,1)_run1","(2,5,1)_run2","(2,5,1)_run3","(2,5,1)_run4","(2,5,1)_run5","(3,1,1)_run0","(3,1,1)_run1","(3,1,1)_run2","(3,1,1)_run3","(3,5,1)_run0","(3,5,1)_run1","(3,5,1)_run2","(3,5,1)_run3","(4,1,1)_run0","(4,1,1)_run1","(4,1,1)_run2","(4,5,1)_run0","(4,5,1)_run1","(4,5,1)_run2"
cifar10,axioms_ontology_v2,google/gemma-4-26b-a4b-it,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,0.7500,1.0000,1.0000,1.0000
cifar10,classification,google/gemma-4-26b-a4b-it,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,0.7500,1.0000,1.0000,1.0000
cifar10,features,google/gemma-4-26b-a4b-it,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,1.0000,1.0000
cifar10,nle,google/gemma-4-26b-a4b-it,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,1.0000,1.0000
cifar10,rulebased,google/gemma-4-26b-a4b-it,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000
dtd,axioms_ontology_v2,google/gemma-4-26b-a4b-it,0.5000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000,0.6667,1.0000,0.6667,1.0000,0.7500,0.5000,0.7500,0.7500,1.0000
dtd,classification,google/gemma-4-26b-a4b-it,1.0000,0.5000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.6667,0.7500,0.7500,0.5000,0.7500,0.7500,1.0000
dtd,features,google/gemma-4-26b-a4b-it,1.0000,0.5000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.6667,0.5000,0.7500,0.5000,1.0000,0.7500,1.0000
dtd,nle,google/gemma-4-26b-a4b-it,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.6667,0.7500,0.7500,0.5000,1.0000,0.7500,1.0000
dtd,rulebased,google/gemma-4-26b-a4b-it,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.6667,1.0000,1.0000,0.7500,0.7500,0.5000,1.0000
flowers,axioms_ontology_v2,google/gemma-4-26b-a4b-it,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
flowers,classification,google/gemma-4-26b-a4b-it,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
